City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lagoa,PT,2020-10-27 15:45:09,39.05,-27.98,63.48,68,91,13.47
70,Avarua,CK,2020-10-27 15:46:55,-21.21,-159.78,68.0,88,100,9.17
71,Cherskiy,RU,2020-10-27 15:46:55,68.75,161.3,5.22,93,42,6.62
72,Rio Cuarto,AR,2020-10-27 15:46:56,-33.13,-64.35,75.2,33,0,20.8
73,Upernavik,GL,2020-10-27 15:43:42,72.79,-56.15,18.16,84,0,6.93
74,Port Alfred,ZA,2020-10-27 15:46:56,-33.59,26.89,74.52,78,62,13.89
75,Faanui,PF,2020-10-27 15:46:56,-16.48,-151.75,79.5,82,79,16.96
76,Georgetown,MY,2020-10-27 15:46:57,5.41,100.34,84.2,79,20,2.24
77,Nouakchott,MR,2020-10-27 15:46:23,18.09,-15.98,104.0,6,0,16.11
78,Bud,US,2020-10-27 15:46:57,39.45,-86.18,46.0,93,90,3.36
79,Manuk Mangkaw,PH,2020-10-27 15:46:57,4.8,119.85,84.04,78,100,14.07
80,Kodinsk,RU,2020-10-27 15:45:12,58.69,99.18,26.28,96,100,8.57
81,La Rioja,ES,2020-10-27 15:46:58,42.25,-2.5,62.6,51,20,17.22
82,Barrow,US,2020-10-27 15:45:01,71.29,-156.79,28.4,79,90,12.75
83,Inhambane,MZ,2020-10-27 15:46:58,-23.86,35.38,80.6,65,20,11.41
84,Carnarvon,AU,2020-10-27 15:46:58,-24.87,113.63,69.8,83,0,25.28
85,Kavieng,PG,2020-10-27 15:46:11,-2.57,150.8,82.13,71,44,4.32
86,Siniscola,IT,2020-10-27 15:46:59,40.57,9.69,60.8,63,20,14.99
87,Husavik,IS,2020-10-27 15:44:13,66.04,-17.34,37.4,59,90,1.12
88,Tibati,CM,2020-10-27 15:46:59,6.47,12.63,79.47,58,0,5.06
89,Salisbury,GB,2020-10-27 15:44:02,51.07,-1.8,55.0,87,75,18.34
90,Mahajanga,MG,2020-10-27 15:47:00,-15.72,46.32,82.4,69,20,13.87
91,Udimskiy,RU,2020-10-27 15:47:00,61.14,45.91,36.32,93,100,10.31
92,Ialibu,PG,2020-10-27 15:47:00,-6.28,143.99,57.52,99,100,0.81
93,Hermanus,ZA,2020-10-27 15:46:20,-34.42,19.23,66.99,79,98,5.01
94,Isangel,VU,2020-10-27 15:47:01,-19.55,169.27,74.23,81,35,13.96
95,Lompoc,US,2020-10-27 15:47:01,34.64,-120.46,46.4,81,1,6.93
96,New Norfolk,AU,2020-10-27 15:47:01,-42.78,147.06,46.99,85,98,1.68
97,Turka,UA,2020-10-27 15:47:02,49.15,23.03,55.99,85,0,4.0
98,Sarakhs,IR,2020-10-27 15:47:03,36.54,61.16,64.4,27,100,4.7
99,Moramanga,MG,2020-10-27 15:47:03,-18.93,48.2,62.19,90,65,3.0
100,Havoysund,NO,2020-10-27 15:47:03,71.0,24.66,37.4,74,0,5.82
101,Cihuatlan,MX,2020-10-27 15:47:04,19.24,-104.57,82.4,74,40,0.67
102,Pisco,PE,2020-10-27 15:47:04,-13.7,-76.22,68.0,72,0,9.17
103,Atbasar,KZ,2020-10-27 15:47:04,51.8,68.33,33.06,91,97,23.55
104,Gat,IL,2020-10-27 15:47:05,31.61,34.76,79.0,100,0,4.0
105,Buraydah,SA,2020-10-27 15:47:05,26.33,43.98,84.2,18,0,6.93
106,Managua,NI,2020-10-27 15:46:25,12.13,-86.25,75.2,100,75,4.7
107,Arraial Do Cabo,BR,2020-10-27 15:46:40,-22.97,-42.03,82.4,69,0,11.41
108,Dabeiba,CO,2020-10-27 15:47:06,7.0,-76.27,86.49,55,11,4.88
109,Dudinka,RU,2020-10-27 15:44:32,69.41,86.18,-0.4,84,0,4.47
110,Marzuq,YE,2020-10-27 15:47:06,14.4,46.47,69.96,22,93,4.83
111,Olga,RU,2020-10-27 15:47:06,43.74,135.29,41.88,83,39,3.33
112,Tiksi,RU,2020-10-27 15:46:29,71.69,128.87,2.39,92,95,7.49
113,Oussouye,SN,2020-10-27 15:47:07,12.48,-16.55,95.0,70,20,6.93
114,Portland,US,2020-10-27 15:44:25,45.52,-122.68,33.8,74,20,1.68
115,Ixtapa,MX,2020-10-27 15:46:02,20.7,-105.2,84.99,78,20,4.7
116,Whitianga,NZ,2020-10-27 15:47:07,-36.83,175.7,59.0,94,23,8.19
117,Geraldton,AU,2020-10-27 15:47:07,-28.77,114.6,66.2,68,75,12.75
118,Carbonia,IT,2020-10-27 15:47:08,39.17,8.52,64.4,82,40,12.75
119,Sayat,TM,2020-10-27 15:47:08,38.78,63.88,60.8,38,0,13.87
120,Konya,TR,2020-10-27 15:47:08,38.17,32.5,71.6,24,0,12.75
121,Oktyabrskoye,RU,2020-10-27 15:47:08,43.06,44.74,53.6,87,75,8.95
122,Manono,CD,2020-10-27 15:47:09,-7.3,27.42,79.21,68,93,4.43
123,Batagay,RU,2020-10-27 15:47:09,67.63,134.63,6.82,94,100,2.62
124,Kodiak,US,2020-10-27 15:47:09,57.79,-152.41,44.6,56,1,10.29
125,Egvekinot,RU,2020-10-27 15:47:09,66.32,-179.17,17.26,93,77,9.15
126,Lincolnia,US,2020-10-27 15:45:43,40.8,-96.67,30.0,65,0,1.99
127,Tigil,RU,2020-10-27 15:47:09,57.8,158.67,34.12,89,91,1.36
128,Jaguaruna,BR,2020-10-27 15:47:10,-28.61,-49.03,75.99,63,6,7.29
129,Peniche,PT,2020-10-27 15:43:04,39.36,-9.38,66.0,75,81,15.99
130,Natal,BR,2020-10-27 15:47:10,-5.79,-35.21,86.0,70,75,14.99
131,Hithadhoo,MV,2020-10-27 15:47:10,-0.6,73.08,83.98,67,73,8.28
132,Severo-Kurilsk,RU,2020-10-27 15:43:48,50.68,156.12,42.3,84,5,6.71
